title,price,rating,reviews,availability
PlayStation 5 Console -  Marvel’s Spider-Man 2 Bundle (slim),$499.00,4.4 out of 5 stars,97 ratings,In Stock
PlayStation 5 Pulse 3D Wireless Headset,,4.7 out of 5 stars,"21,863 ratings",Not Available
Just Dance 2024 Edition - Amazon Exclusive Bundle | PlayStation 5 (Code in Box & Ubisoft Connect Code),$29.99,2.8 out of 5 stars,8 ratings,In Stock
PDP AIRLITE Pro Wireless Headset: Neptune Blue for Playstation 5 & Playstation 4,$79.00,4.4 out of 5 stars,"5,295 ratings","This item will be released on December 25, 2023."
PlayStation 5 Console (PS5),,4.8 out of 5 stars,"6,453 ratings",Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"12,578 ratings",Not Available
PlayStation DualSense Wireless Controller – Gray Camouflage,$49.00,4.8 out of 5 stars,"94,397 ratings",In Stock
PlayStation®5 Digital Edition (slim),$449.99,Previous page of related Sponsored Products,,In Stock
Gravity Circuit - Playstation 5,$39.99,Previous page of related Sponsored Products,,"This item will be released on March 29, 2024."
$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"148,327 ratings",Available now
$70 PlayStation Plus – Wallet Funds [Digital Code],$63.00,4.7 out of 5 stars,"148,327 ratings",Available now
Sonic Superstars - PlayStation 5,$34.99,4.5 out of 5 stars,38 ratings,In Stock
$30 PlayStation Plus – Wallet Funds [Digital Code],$27.00,4.7 out of 5 stars,"148,327 ratings",Available now
PULSE Explore Wireless Earbuds,,Previous page of related Sponsored Products,,Not Available
$50 PlayStation Store Gift Card [Digital Code],$50.00,4.7 out of 5 stars,"148,327 ratings",Available now
Among Us: Ejected Edition - PlayStation 5,$35.99,4.4 out of 5 stars,89 ratings,In Stock
"NexiGo PS5 DualSense Controller Charger Special Edition, Wireless Controller Charging Station with Dual USB C Ports, Dual USB Fast Charging Dock for Sony Playstation 5 Dualsense Controller",,4.6 out of 5 stars,"2,707 ratings",In Stock
$110 PlayStation Plus – Wallet Funds [Digital Code],$99.00,4.7 out of 5 stars,"148,327 ratings",Available now
PDP AIRLITE Wired Stereo Gaming Playstation Headset with Noise Cancelling Boom Microphone: PS5/PS4 (Frost White),,4.3 out of 5 stars,"5,445 ratings",In Stock
"SIKEMAY PS5 Plates Console Accessories with Cooling Vent and RGB LED Light Strip for Playstation 5 Disc Edition, PS5 Cover Face Plates Hard Shockproof Side Shell Skin, 8 Colors 400 Effects - Purple",,4.6 out of 5 stars,165 ratings,In Stock
Black PS5 Faceplate Case Cover Customized PS5 Plate for Disc Playstation 5 Console Hard Shell Skin Replacement Cover Plates Matt Black Side Plate for Playstation 5,,4.6 out of 5 stars,190 ratings,Not Available
